1,"Approach either the elf, dwarf or human at the local tavern.",2,Approach Elf,14,Approach Dwarf,28,Approch Human
2,"You approach the elf and start talking, after a while you discover that they have received word about a band of bandits pestering their home villages local trade route.",3,Tell the elf you want to help and find out more,1,Go back ,-1,-1
3,"After conversing more with the elf you learn that they've been a registered adventurer with the guild for a year trying to gain recognition and raise through the ranks to build better relations with the city and elves. They tell you that their home village is located west of the city and is a day ride from here in horse and cart. So you tell them that tomorrow at sunrise you'll catch a ride from nearest stables to the closest junction to the elf village.",7,Visit the local adventurer store before the journey,4,Get some needed sleep before the journey tomorrow,-1,-1
4,"You fall asleep but get woken up in the middle of the night with after hearing some screams.",5,Open the windows to see whats happening,6,ignore the screams and try to go back to sleep.,-1,-1
5,"As you peer through the window you notice some local guards running after someone so decide to head back to sleep thinking it's being handled so decide to go back to sleep.",6,"Its being handled, go back to sleep",-1,-1,-1,-1
6,"You wake up after the nights' rest and meet up with the elf by the stables to purchase a ride west of town. When exiting you notice some guards peering over a half-covered body, it appears someone died outside of town as the coachman mutters under his breath ''another one dead'. ",8,Ask the more elf about herself,9,Keep to yourself for the rest of the journey,-1,-1
7,Adventurers Store,6,Head to your room at the tavern to get some sleep,17,Head to to the local stables to get a ride to the west of town,-1,-1
8,"You strike a conversation with the elf and share your histories. She starts to tell you about her ability with the bow and arrow she states its nothing to boast about but she quite confident in her aim. She then continues to talk about her village and where she grew up and how her life in the village was generally quiet and repetitive which is why she always wanted to be an adventurer to find out more of the outside world. As she continues to talk the coachman state that you've arrived at your destination.",9,Hop off the cart,-1,-1,-1,-1
9,"As the coachman leaves the elf says that they'll make the rest of the journey on foot and venture into the forest following the path so not attract the attention of the bandits. Making your way through the forest you spot smoke above the tree line, as you both approach closer you start to hear voices getting louder and louder until you peer through the bushes to see 4 men around a campfire all carrying weapons, multiple tents scatter around with various chests overflowing with loot next to them. It must be them - the bandits we're looking for says the elf, you nod in agreement. ",1000,Rush in and attack the bandits ,1001,Sneak around the perimiter and make a distraction.,-1,-1
10,"As the elf draws her bow and arrow one of the bandits spots her and shouts to warn the other, as the arrow hurtles toward the nearest bandit he manages to just roll out of the way while another grab and draws his crossbow striking you straight through the head instantly killing you! You've reached the end of one path of the intro to DnD decision adventure game, why not start over or go back a decision and head down a different path?",1,Start over from the beginning,-1,-1,-1,-1
11,"The elf manages to fire off two arrows in quick succession hitting a bandit straight through the head and wounding another in the leg. While you ready your 'Y' managing to finish the remaining two bandits. You both approach the squirming bandit with the injured leg then drag him and tie him as he hurls insults and threats at you. Afterwards, you look through the bandits' loot the elf thanks you and hands 50 gold she uncovered from the bandits stash for helping her clear the trade route for the village. The elf heads off to her village with the bandit that's still breathing while wishing you well in returning to town. Congratulations! You've reached the end of one path of the intro to DnD decision adventure game, why not start over or go back a decision and head down a different path?",1,Start over from the beginning,-1,-1,-1,-1
12,"You ask the elf to sneak around the perimeter and set the tents of the bandits on fire while you head to the other direction and attack from behind while they are distracted. Your elven friend agrees and makes her way to one end while you slowly creep your way to the other end, you then potentially waiting for the signal to attack, then you notice the sparks of a fire, the bandits are also quick to take note and spring into action rushing toward the fire, you ready you 'Y' and attack two of the panicked bandits striking them from behind while the elf fire arrows in quick succession. You've managed to successfully kill all the bandits! You rendevous with the elf after burying the bandits nearby and after searching through the bandits' chests the elf hands you 50 gold for helping village trade route become safer. You both head your separate ways, the elf heading to her village while you make your way back to town to enjoy yourself with your well-earned spoils. Congratulations! You've reached the end of one path of the intro to DnD decision adventure game, why not start over or go back a decision and head down a different path? ",1,Go down a new path,-1,-1,-1,-1
